"","M_SNC_MST_RCNT_ACT_OPN","TOT_HI_CRDT_CRDT_LMT","RATIO_BAL_TO_HI_CRDT","AGRGT_BAL_ALL_XCLD_MRTG","N_OF_SATISFY_FNC_REV_ACTS","AVG_BAL_ALL_FNC_REV_ACTS","N_BANK_INSTLACTS","M_SNCOLDST_BNKINSTL_ACTOPN","N_FNC_INSTLACTS","N_SATISFY_INSTL_ACTS","M_SNC_MSTREC_INSTL_TRD_OPN","TOT_INSTL_HI_CRDT_CRDT_LMT","M_SNC_OLDST_MRTG_ACT_OPN","M_SNC_MSTRCNT_MRTG_ACT_UPD","M_SNC_MST_RCNT_MRTG_DEAL","N30D_ORWRS_RTNG_MRTG_ACTS","N_OF_MRTG_ACTS_DLINQ_24M","N_SATISFY_PRSNL_FNC_ACTS","RATIO_PRSNL_FNC_BAL2HICRDT","TOT_OTHRFIN_HICRDT_CRDTLMT","N_SATISFY_OIL_NATIONL_ACTS","M_SNCOLDST_OIL_NTN_TRD_OPN","N_BC_ACTS_OPN_IN_12M","N_BC_ACTS_OPN_IN_24M","AVG_BAL_ALL_PRM_BC_ACTS","N_RETAIL_ACTS_OPN_IN_24M","M_SNC_OLDST_RETAIL_ACT_OPN","RATIO_RETAIL_BAL2HI_CRDT","TOT_BAL_ALL_DPT_STORE_ACTS","N_30D_RATINGS","N_120D_RATINGS","N_30D_AND_60D_RATINGS","N_ACTS_WITH_MXD_3_IN_24M","N_ACTS_WITH_MXD_4_IN_24M","PRCNT_OF_ACTS_NEVER_DLQNT","N_ACTS_90D_PLS_LTE_IN_6M","TOT_NOW_LTE","N_DEROG_PUB_RECS","N_INQUIRIES","N_FNC_ACTS_VRFY_IN_12M","N_OPEN_REV_ACTS","N_FNC_ACTS_OPN_IN_12M","HI_RETAIL_CRDT_LMT","N_PUB_REC_ACT_LINE_DEROGS","M_SNC_MST_RCNT_60_DAY_RTNG","AUTO_HI_CRDT_2_ACTUAL","MRTG_1_MONTHLY_PAYMENT","MRTG_2_CURRENT_BAL","PREM_BANKCARD_CRED_LMT","STUDENT_HI_CRED_RANGE","AUTO_2_OPEN_DATE_YRS","MAX_MRTG_CLOSE_DATE","UPSCALE_OPEN_DATE_YRS","STUDENT_OPEN_DATE_YRS","FNC_CARD_OPEN_DATE_YRS","AGE","D_DEPTCARD","D_REGION_A","D_REGION_B","D_REGION_C","D_NA_M_SNC_MST_RCNT_ACT_OPN","D_NA_AVG_BAL_ALL_FNC_REV_ACTS","D_NA_M_SNCOLDST_BNKINSTL_ACTOPN","D_NA_M_SNC_OLDST_MRTG_ACT_OPN","D_NA_M_SNC_MST_RCNT_MRTG_DEAL","D_NA_RATIO_PRSNL_FNC_BAL2HICRDT","D_N_DISPUTED_ACTS","PURCHASE","UNIQUE_ID"
"42451",4,76422,24.3,12996,1,1728.33162193699,3,127,2,1,50,26722,119,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,1,220,1,3,627,1,221,0,0,2,0,2,0,0,96.9,0,0,0,1,0,11,0,1000,2,20.8802831142568,0,126,0,10400,0,2.33666142281372,8.28767123287671,9.53972602739726,2.48634096737679,1.28191739298384,28,1,0,0,1,0,1,0,0,1,1,1,1,4392
"8053",141,27100,1,266,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,118,0,565,1.3,148,0,0,0,0,0,100,0,0,0,0,0,6,0,5000,0,20.8802831142568,0,0,0,11000,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,56,1,0,0,1,0,1,1,1,1,1,0,0,4394
"85674",53,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,0,0,42.1564612125492,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,25,0,0,0,2,0,0,0,0,9,36,1769,0,0,0,0,1.45753424657534,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,36,0,0,0,1,0,1,1,1,1,1,0,0,4397
"23770",16,375142,47.1,85618,2,1728.33162193699,5,175,4,2,16,34782,164,1,80,1,0,0,52.1986768597471,34782,0,187.545454545455,0,0,6683,0,215,0,0,1,0,1,0,0,96.9,0,0,0,5,2,11,0,2000,0,20.8802831142568,0,0,0,0,5,2.33666142281372,3.14067227136849,4.95342465753425,2.8321880380268,1.28191739298384,50,1,0,1,0,0,1,0,0,0,1,0,0,4401
"16411",3,40899,93.5,38223,0,1728.33162193699,7,90,7,3,3,40899,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,32771,0,187.545454545455,1,1,2518.65422661871,0,57,11.2529557030406,0,11,0,13,0,1,52.4,0,0,2,8,2,0,2,0,5,12,21841,0,0,0,6,1.36712328767123,3.14067227136849,7.53598050258877,2,1.28191739298384,54,0,0,0,0,0,1,0,1,1,1,0,0,4402
"53584",3,49664,80.2,39843,0,1728.33162193699,6,139,5,3,3,49664,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,39564,0,187.545454545455,0,0,2518.65422661871,0,165.627093872962,11.2529557030406,0,6,0,6,0,0,72.7,0,0,0,0,2,0,0,0,0,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,37,0,0,0,1,0,1,0,1,1,1,0,0,4406
"60547",2,26280,61.3,16107,0,1728.33162193699,1,66,4,2,13,22080,140.24170172978,0.668493150684932,26.6519337016575,0,0,1,66.7,0,0,187.545454545455,2,2,2518.65422661871,0,64,0,0,28,6,32,0,0,53.8,0,0,3,4,1,3,0,3400,5,25,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,-0.463013698630137,83,0,0,1,0,0,1,0,1,1,0,0,0,4409
"37550",5,0,36.0982772631237,0,0,1728.33162193699,0,99.930935709739,4,0,22,0,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,3,2518.65422661871,0,165.627093872962,11.2529557030406,0,0,0,0,0,0,8.3,4,0,0,12,0,0,0,0,17,3,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,100,0,0,1,0,0,1,1,1,1,1,0,0,4411
"79372",5,8135,77.7,6323,0,1728.33162193699,0,99.930935709739,1,1,13,3835,140.24170172978,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,3835,0,187.545454545455,2,2,2518.65422661871,1,11,41.7,0,1,0,1,0,0,75,0,0,0,2,1,3,0,300,1,20.8802831142568,0,0,0,0,0,2.33666142281372,3.14067227136849,7.53598050258877,2.48634096737679,1.28191739298384,51,1,0,1,0,0,1,1,1,1,1,0,0,4413
"97570",9,13250,4.5,591,0,1728.33162193699,0,99.930935709739,3,0,9,0,165,0.668493150684932,26.6519337016575,0,0,0,52.1986768597471,0,0,187.545454545455,0,1,2518.65422661871,0,190,0,0,0,0,0,0,0,100,0,0,0,3,0,4,1,1300,0,20.8802831142568,0,0,0,10500,0,2.33666142281372,2.29041095890411,7.53598050258877,2.48634096737679,1.28191739298384,41,1,1,0,0,0,1,1,0,1,1,0,1,4414
